,sentence,target,target_type,category,polarity,opinin_Term
34,"While the ambiance and atmosphere were great , the food and service could have been a lot better .",food,explicit,FOOD QUALITY,negative,could have been a lot better
35,"While the ambiance and atmosphere were great , the food and service could have been a lot better .",service,explicit,SERVICE GENERAL,negative,could have been a lot better
36,"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",meal,explicit,FOOD QUALITY,positive,real
37,"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",restaurant,explicit,AMBIENCE GENERAL,positive,real
38,Can 't wait to go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
39,"Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality , professionalism , and respects the privacy of your dinner .",server,explicit,SERVICE GENERAL,positive,refreshing
40,"Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality , professionalism , and respects the privacy of your dinner .",server,explicit,SERVICE GENERAL,positive,professionalism
41,"Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality , professionalism , and respects the privacy of your dinner .",server,explicit,SERVICE GENERAL,positive,respects
42,I would highly recommand requesting a table by the window .,table by the window,explicit,LOCATION GENERAL,positive,recommand
43,Mine tasted like the bartender had forgotten to add the tequila .,NULL,implicit,DRINKS QUALITY,negative,forgotten
44,Helpful service and average price per dish $ 10 .,service,explicit,SERVICE GENERAL,positive,Helpful
45,Helpful service and average price per dish $ 10 .,dish,explicit,FOOD PRICES,neutral,$ 10
46,This is the kind of place you 'd like to take all your friends to and still keep a secret .,place,explicit,RESTAURANT MISCELLANEOUS,positive,like
47,I 've had my fair share of modern Japanese and this spot delivers .,modern Japanese,explicit,FOOD QUALITY,positive,delivers
48,Service was slow had to wait to order and get food although not crowded .,Service,explicit,SERVICE GENERAL,negative,slow
49,"The place is small and intimate and you may feel a little crowded , but the service is excellent and it's great for friends out , a romantic date , or a special occassion .",service,explicit,SERVICE GENERAL,positive,excellent
50,"The place is small and intimate and you may feel a little crowded , but the service is excellent and it's great for friends out , a romantic date , or a special occassion .",place,explicit,AMBIENCE GENERAL,negative,crowded
51,"The place is small and intimate and you may feel a little crowded , but the service is excellent and it's great for friends out , a romantic date , or a special occassion .",place,explicit,RESTAURANT MISCELLANEOUS,positive,small
52,"The place is small and intimate and you may feel a little crowded , but the service is excellent and it's great for friends out , a romantic date , or a special occassion .",place,explicit,RESTAURANT MISCELLANEOUS,positive,intimate
53,Best Pastrami I ever had and great portion without being ridiculous .,Pastrami,explicit,FOOD QUALITY,positive,Best
54,Best Pastrami I ever had and great portion without being ridiculous .,portion,explicit,FOOD STYLE_OPTIONS,positive,great
55,Still we keep going back : ),NULL,implicit,RESTAURANT GENERAL,positive,going back
56,SO GOOD,NULL,implicit,RESTAURANT GENERAL,positive,GOOD
57,Highly recommended to all !,NULL,implicit,RESTAURANT GENERAL,positive,recommended
58,"Creative , consistent , fresh .",NULL,implicit,FOOD QUALITY,positive,consistent
59,"Creative , consistent , fresh .",NULL,implicit,FOOD STYLE_OPTIONS,positive,Creative
60,"Creative , consistent , fresh .",NULL,implicit,FOOD QUALITY,positive,fresh
61,"Eating in , the atmosphere saves it , but at your desk , it's a very disappointing experience .",atmosphere,explicit,AMBIENCE GENERAL,positive,saves
62,"Eating in , the atmosphere saves it , but at your desk , it's a very disappointing experience .",NULL,implicit,RESTAURANT GENERAL,negative,disappointing
63,"Love the scene first off- the place has a character and nice light to it..very fortunate , location wise .",scene,explicit,AMBIENCE GENERAL,positive,Love
64,"Love the scene first off- the place has a character and nice light to it..very fortunate , location wise .",place,explicit,AMBIENCE GENERAL,positive,nice
65,"Love the scene first off- the place has a character and nice light to it..very fortunate , location wise .",location,explicit,LOCATION GENERAL,positive,fortunate
66,The real problem I had with this place was the complete lack of service .,service,explicit,SERVICE GENERAL,negative,lack of
67,How do you rate home ?,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,home
68,Patroon features a nice cigar bar and has great staff .,cigar bar,explicit,AMBIENCE GENERAL,positive,nice
69,Patroon features a nice cigar bar and has great staff .,staff,explicit,SERVICE GENERAL,positive,great
70,Service was prompt and courteous .,Service,explicit,SERVICE GENERAL,positive,prompt
71,Service was prompt and courteous .,Service,explicit,SERVICE GENERAL,positive,courteous
72,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",beers,explicit,DRINKS STYLE_OPTIONS,positive,happy
73,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",food,explicit,FOOD QUALITY,positive,delicious
74,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",pumkin tortelini,explicit,FOOD QUALITY,positive,recommend
75,The family seafood entree was very good .,family seafood entree,explicit,FOOD QUALITY,positive,good
76,No gimmicks here -- the food speaks for itself in its freshness and preparation .,food,explicit,FOOD QUALITY,positive,freshness
77,It is very overpriced and not very tasty .,NULL,implicit,FOOD QUALITY,negative,not very tasty
78,It is very overpriced and not very tasty .,NULL,implicit,FOOD PRICES,negative,overpriced
79,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,enjoy
80,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,young
81,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,not always well trained
82,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,friendly
83,It is so romantic .,NULL,implicit,AMBIENCE GENERAL,positive,romantic
84,Our food was great too !,food,explicit,FOOD QUALITY,positive,great
85,"Have eaten at Ginger House several times , and it's always good .",Ginger House,explicit,RESTAURANT GENERAL,positive,good
86,"I wanted to go there to see if it was worth it and sadly , curiousity got the best of me and I paid dearly for it .",NULL,implicit,RESTAURANT GENERAL,negative,sadly
87,"I wanted to go there to see if it was worth it and sadly , curiousity got the best of me and I paid dearly for it .",NULL,implicit,RESTAURANT PRICES,negative,paid dearly for it
88,We will be back .,NULL,implicit,RESTAURANT GENERAL,positive,be back
89,The veal was incredible last night .,veal,explicit,FOOD QUALITY,positive,incredible
90,But that is highly forgivable .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,highly forgivable
91,"We love the food , drinks , and atmosphere !",food,explicit,FOOD QUALITY,positive,love
92,"We love the food , drinks , and atmosphere !",drinks,explicit,DRINKS QUALITY,positive,love
93,"We love the food , drinks , and atmosphere !",atmosphere,explicit,AMBIENCE GENERAL,positive,love
94,"Service was just ok , it is not what you 'd expect for $ 500 .",Service,explicit,SERVICE GENERAL,negative,ok
95,"Service was just ok , it is not what you 'd expect for $ 500 .",NULL,implicit,RESTAURANT PRICES,negative,$ 500
96,"if you 're daring , try the balsamic vinegar over icecream , it's wonderful !",balsamic vinegar over icecream,explicit,FOOD QUALITY,positive,try
97,"if you 're daring , try the balsamic vinegar over icecream , it's wonderful !",balsamic vinegar over icecream,explicit,FOOD QUALITY,positive,wonderful
98,"My girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that I was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .",meal,explicit,FOOD QUALITY,negative,disgusted
99,"My girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that I was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .",NULL,implicit,SERVICE GENERAL,negative,blacklisted
100,The wine list is interesting and has many good values .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,interesting
101,The wine list is interesting and has many good values .,wine list,explicit,DRINKS PRICES,positive,good values
102,"Servers are all different , Greg is my favorite .",Greg,explicit,SERVICE GENERAL,positive,favorite
103,great taste,NULL,implicit,FOOD QUALITY,positive,great
104,The place is so cool and the service is prompt and curtious .,service,explicit,SERVICE GENERAL,positive,prompt
105,The place is so cool and the service is prompt and curtious .,service,explicit,SERVICE GENERAL,positive,curtious
106,The place is so cool and the service is prompt and curtious .,place,explicit,AMBIENCE GENERAL,positive,cool
107,"I didn't complain , I liked the atmosphere so much .",atmosphere,explicit,AMBIENCE GENERAL,positive,liked
108,The entree was also very good .,entree,explicit,FOOD QUALITY,positive,good
109,Can ’ t believe how an expensive NYC restaurant can be so disrespectful to its clients .,restaurant,explicit,RESTAURANT PRICES,negative,expensive
110,Can ’ t believe how an expensive NYC restaurant can be so disrespectful to its clients .,NULL,implicit,SERVICE GENERAL,negative,disrespectful
111,Great survice,survice,explicit,SERVICE GENERAL,positive,Great
112,Good food .,food,explicit,FOOD QUALITY,positive,Good
113,Much of the time it seems like they do not care about you .,NULL,implicit,SERVICE GENERAL,negative,do not care about you
114,Food was OK .,Food,explicit,FOOD QUALITY,neutral,OK
115,"So close , but not good enough .",NULL,implicit,RESTAURANT GENERAL,neutral,not good enough
116,Went here on sat 1 /26 and was disappointed .,NULL,implicit,RESTAURANT GENERAL,negative,disappointed
117,the food is decent .,food,explicit,FOOD QUALITY,neutral,decent
118,"For authentic Thai food , look no further than Toons .",Thai food,explicit,FOOD QUALITY,positive,authentic
119,The wife had the risotto which was amazing .,risotto,explicit,FOOD QUALITY,positive,amazing
120,"Great , original taste .",NULL,implicit,FOOD QUALITY,positive,Great
121,"Great , original taste .",NULL,implicit,FOOD QUALITY,positive,original
122,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,NULL,implicit,FOOD QUALITY,negative,old canned vegetables
123,"Overall , not worth the money .",NULL,implicit,RESTAURANT PRICES,negative,not worth
124,"The bread was stale , the salad was overpriced and empty .",bread,explicit,FOOD QUALITY,negative,stale
125,"The bread was stale , the salad was overpriced and empty .",salad,explicit,FOOD PRICES,negative,overpriced
126,"The bread was stale , the salad was overpriced and empty .",salad,explicit,FOOD STYLE_OPTIONS,negative,empty
127,"While their kitchen food is delicious , their Sushi is out of this world .",kitchen food,explicit,FOOD QUALITY,positive,delicious
128,"While their kitchen food is delicious , their Sushi is out of this world .",Sushi,explicit,FOOD QUALITY,positive,out of this world
129,He offers subpar service and has no personality .,service,explicit,SERVICE GENERAL,negative,subpar
130,"I go out to eat and like my courses , servers are patient and never rush courses or force another drink .",servers,explicit,SERVICE GENERAL,positive,patient
131,We had the scallops as an appetizer and they were delicious and the sauce was wonderful .,scallops,explicit,FOOD QUALITY,positive,delicious
132,We had the scallops as an appetizer and they were delicious and the sauce was wonderful .,sauce,explicit,FOOD QUALITY,positive,wonderful
133,not sure why this restaurant would be rated that highly .,restaurant,explicit,RESTAURANT GENERAL,negative,highly
134,AMAZING MY FAVORITE ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,FAVORITE
135,This is my first time writing a review for a restaurant because the food and service was excellent .,food,explicit,FOOD QUALITY,positive,excellent
136,This is my first time writing a review for a restaurant because the food and service was excellent .,service,explicit,SERVICE GENERAL,positive,excellent
137,Great sake !,sake,explicit,DRINKS QUALITY,positive,Great
138,"The dessert ( we had a pear torte ) was good - but , once again , the staff was unable to provide appropriate drink suggestions .",pear torte,explicit,FOOD QUALITY,positive,good
139,"The dessert ( we had a pear torte ) was good - but , once again , the staff was unable to provide appropriate drink suggestions .",staff,explicit,SERVICE GENERAL,negative,unable to provide
140,"You would think they would make up for it with service , sadly , no .",service,explicit,SERVICE GENERAL,negative,sadly
141,I had a huge pastrami sandwich on a roll .,pastrami sandwich on a roll,explicit,FOOD STYLE_OPTIONS,neutral,huge
142,"The Dancing , White River and Millenium rolls are musts .","Dancing , White River and Millenium rolls",explicit,FOOD QUALITY,positive,musts
143,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",place,explicit,RESTAURANT PRICES,negative,pricey
144,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",food,explicit,FOOD QUALITY,positive,worth
145,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",service,explicit,SERVICE GENERAL,negative,paying a quater of the price
146,Never have I had such dramatic delivery guys ( a lot of huffing and panting and muttering under breath b/c I live in a walkup ) who always seem disappointed with their tips .,delivery guys,explicit,SERVICE GENERAL,negative,dramatic
147,Try the sea bass .,sea bass,explicit,FOOD QUALITY,positive,Try
148,"Guess what , I waited for TWENTY minutes before she came over and when she finally did , she says , `` oh well , I wish you would have said something earlier `` No apology , nothing .",NULL,implicit,SERVICE GENERAL,negative,No apology
149,This place is a must visit !,place,explicit,RESTAURANT GENERAL,positive,must visit
150,I take all my NYC guests to VT 's .,VT 's,explicit,RESTAURANT MISCELLANEOUS,positive,take all my NYC guests
151,"It is set far from the small street it's on , and there is no traffic noise .",NULL,implicit,LOCATION GENERAL,positive,no traffic noise
152,Fish was overdone .,Fish,explicit,FOOD QUALITY,negative,overdone
153,I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,rice dishes,explicit,FOOD QUALITY,positive,recommend
154,I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,congee ( rice porridge ),explicit,FOOD QUALITY,positive,recommend
155,it's a small cute restaurant .,restaurant,explicit,RESTAURANT GENERAL,positive,small cute
156,This tiny Williamsburg spot is always pleasantly surprising .,Williamsburg spot,explicit,RESTAURANT GENERAL,positive,surprising
157,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,explicit,SERVICE GENERAL,negative,rude
158,it's simply the best meal in NYC .,meal,explicit,FOOD QUALITY,positive,best
159,I would never recommend this place to anybody even for a casual dinner .,place,explicit,RESTAURANT GENERAL,negative,never recommend
160,I would never recommend this place to anybody even for a casual dinner .,place,explicit,RESTAURANT MISCELLANEOUS,negative,never recommend
161,The staff is very good .,staff,explicit,SERVICE GENERAL,positive,good
162,The cream cheeses are out of this world and I love that coffee ! !,cream cheeses,explicit,FOOD QUALITY,positive,out of this world
163,The cream cheeses are out of this world and I love that coffee ! !,coffee,explicit,DRINKS QUALITY,positive,love
164,Food awesome .,Food,explicit,FOOD QUALITY,positive,awesome
165,"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",soy sauce,explicit,FOOD QUALITY,negative,salty
166,"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",rice,explicit,FOOD QUALITY,negative,vinegar-soaked
167,Good drink .,drink,explicit,DRINKS QUALITY,positive,Good
168,"The service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night .",service,explicit,SERVICE GENERAL,negative,leaves much to be desired
169,It is also extremely well priced .,NULL,implicit,FOOD PRICES,positive,well priced
170,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD QUALITY,negative,rip-off
171,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD STYLE_OPTIONS,negative,small
172,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD PRICES,negative,not worth
173,"The crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",crust,explicit,FOOD QUALITY,positive,great
174,"The crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",crust,explicit,FOOD QUALITY,positive,good
175,"The crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",sauce,explicit,FOOD QUALITY,positive,light
176,"The crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",cheese,explicit,FOOD QUALITY,positive,great
177,"but when we looked at the menu , there weren 't a lot of choices , most of them were dumplings in the appetizer section .",menu,explicit,FOOD STYLE_OPTIONS,negative,weren 't a lot of choices
178,The price is reasonable although the service is poor .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
179,The price is reasonable although the service is poor .,service,explicit,SERVICE GENERAL,negative,poor
180,Remind me of home .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,home
181,We paid and left because we didn 't feel like arguing any more .,NULL,implicit,SERVICE GENERAL,negative,arguing
182,We all agreed that mare is one of the best seafood restaurants in New York .,mare,explicit,RESTAURANT GENERAL,positive,best
183,A classic !,NULL,implicit,FOOD QUALITY,positive,classic
184,"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",pizza,explicit,FOOD QUALITY,positive,delicious
185,"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",fresh mozzarella,explicit,FOOD QUALITY,positive,fresh
186,Great food .,food,explicit,FOOD QUALITY,positive,Great
187,I generally like this place .,place,explicit,RESTAURANT GENERAL,positive,like
188,"However , our main course was wonderful .",main course,explicit,FOOD QUALITY,positive,wonderful
189,We were drawn into the belly dancing show that captivated the crowd .,belly dancing show,explicit,AMBIENCE GENERAL,positive,captivated
190,I have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster roll,explicit,FOOD QUALITY,positive,recommend
191,I have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster,explicit,FOOD QUALITY,positive,fresh
192,The service is good and the resturant is clean .,service,explicit,SERVICE GENERAL,positive,good
193,The service is good and the resturant is clean .,resturant,explicit,AMBIENCE GENERAL,positive,clean
194,I really recommend the very simple Unda ( Egg ) rolls .,Unda ( Egg ) rolls,explicit,FOOD QUALITY,positive,recommend
195,I really recommend the very simple Unda ( Egg ) rolls .,Unda ( Egg ) rolls,explicit,FOOD QUALITY,positive,simple
196,The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts .,environment,explicit,AMBIENCE GENERAL,neutral,upscale
197,Everything on the menu is great .,menu,explicit,FOOD QUALITY,positive,great
198,everyone was cheerfully cooperative and helpful .,NULL,implicit,SERVICE GENERAL,positive,cheerfully cooperative
199,everyone was cheerfully cooperative and helpful .,NULL,implicit,SERVICE GENERAL,positive,helpful
200,"The wait here is long for dim sum , but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",wait,explicit,SERVICE GENERAL,negative,long
201,"The wait here is long for dim sum , but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",atmosphere,explicit,AMBIENCE GENERAL,negative,raucous
202,"The wait here is long for dim sum , but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,sleek
203,This place blew me away ... by far my new favorite restaurant on the uppereast side .,place,explicit,RESTAURANT GENERAL,positive,favorite
204,"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",Food,explicit,FOOD QUALITY,positive,good
205,"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",pork belly,explicit,FOOD QUALITY,negative,roasted a bit longer
206,I heard the lobster roll was excellent .,lobster roll,explicit,FOOD QUALITY,positive,excellent
207,it's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,RESTAURANT MISCELLANEOUS,negative,closes early
208,it's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,AMBIENCE GENERAL,negative,cramped
209,it's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,AMBIENCE GENERAL,negative,busy
210,The atmosphere was great .,atmosphere,explicit,AMBIENCE GENERAL,positive,great
211,All the people that I bring there go back on their own and bring THEIR friends !,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,go back
212,I pray it stays open forever .,NULL,implicit,RESTAURANT GENERAL,positive,stays open forever
213,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,pleasant
214,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,fun
215,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,gorgeous
216,One of the best hot dogs I have ever eaten .,NULL,implicit,FOOD QUALITY,positive,best
217,fine dining restaurant quality .,dining,explicit,FOOD QUALITY,positive,fine
218,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,perfect consistency
219,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,not too fishy
220,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,creamy
221,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,buttery
222,They charge different prices all the time .,NULL,implicit,SERVICE GENERAL,negative,charge different prices
223,"I read reviews that called the restaurant too expensive and I thought to myself , but may be it is worth it .",restaurant,explicit,RESTAURANT PRICES,negative,expensive
224,"I read reviews that called the restaurant too expensive and I thought to myself , but may be it is worth it .",restaurant,explicit,RESTAURANT GENERAL,negative,expensive
225,"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant,explicit,AMBIENCE GENERAL,positive,cozy
226,and yes Dal Bukhara is so dam good and so are all the kababs .,kababs,explicit,FOOD QUALITY,positive,good
227,and yes Dal Bukhara is so dam good and so are all the kababs .,Dal Bukhara,explicit,FOOD QUALITY,positive,good
228,the crust was imazingly cooked well and pizza was fully loaded : ) : ) : ),crust,explicit,FOOD QUALITY,positive,cooked well
229,the crust was imazingly cooked well and pizza was fully loaded : ) : ) : ),pizza,explicit,FOOD STYLE_OPTIONS,positive,fully loaded
230,I highly recommend the restaurant based on our experience last night .,restaurant,explicit,RESTAURANT GENERAL,positive,recommend
231,We were 4 and got the family size penne a la vodka which was tremendously gigantic portion ... a bucket of food literally .,penne a la vodka,explicit,FOOD STYLE_OPTIONS,positive,gigantic
232,Our server was very helpful and friendly .,server,explicit,SERVICE GENERAL,positive,helpful
233,Our server was very helpful and friendly .,server,explicit,SERVICE GENERAL,positive,friendly
234,Make sure you have the Spicy Scallop roll ...,Spicy Scallop roll,explicit,FOOD QUALITY,positive,Make sure
235,The service was attentive .,service,explicit,SERVICE GENERAL,positive,attentive
236,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service,explicit,SERVICE GENERAL,positive,fast
237,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service,explicit,SERVICE GENERAL,positive,friendly
238,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,food,explicit,FOOD QUALITY,positive,tasty
239,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,hot sauce,explicit,FOOD QUALITY,positive,best
240,"I must say I am surprised by the bad reviews of the restaurant earlier in the year , though .",restaurant,explicit,RESTAURANT GENERAL,positive,bad
241,"Mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine ... but not the grunt that we received from the Al Di La staff .",staff,explicit,SERVICE GENERAL,negative,grunt
242,The place is small and cramped but the food is fantastic .,place,explicit,AMBIENCE GENERAL,negative,small
243,The place is small and cramped but the food is fantastic .,place,explicit,AMBIENCE GENERAL,negative,cramped
